original_text,finbert_sentiment,roberta_sentiment,vader_sentiment,financialbert_sentiment,true_label
Barnes &amp; Noble Education $BNED versus Hibbett Sports $HIBB Head to Head Analysis https://t.co/SXlHxzMCjy,neutral,neutral,positive,neutral,neutral
Seagate BarraCuda SSD Review @Seagate @_adam_armstrong $STX https://t.co/nFagyr6vaN https://t.co/y127iKfOSb,neutral,neutral,neutral,neutral,neutral
RT @420_invest: 🍁@420_invest🍁  We fund #marijuana opportunities. DM us !  $AERO $ABBV $ACAN $ACNFF $ACBFF $AGSTF $AMMJ $APHQF $ATTBF $AXI…,neutral,neutral,positive,neutral,neutral
Assurant $AIZ Coverage Initiated at Keefe Bruyette &amp; Woods https://t.co/7YZg1L35Yd,neutral,neutral,neutral,neutral,neutral
Motorola Solutions $MSI Downgraded by Zacks Investment Research https://t.co/GYS32AQwi4,negative,negative,positive,neutral,negative
Douglas Emmett $DEI &amp; Mid-America Apartment Communities $MAA Critical Comparison https://t.co/MQbqkJrJqy,neutral,neutral,negative,neutral,neutral
$INFO new insider selling: 100 shares. https://t.co/NJBlAgiEhU,neutral,neutral,positive,neutral,neutral
$HCA open interest for maturity 07/13/2018. High put=101.00 High call=106.00 #maxpain #options… https://t.co/ZRzL9oPL9n,neutral,neutral,positive,neutral,neutral
$CME Max Pain=165.00. Maturity=07/20/2018. #maxpain #options https://t.co/KCUNO8GDjz https://t.co/I7fzz8Z7Yw,neutral,neutral,negative,neutral,neutral
Platform Specialty Products $PAH Rating Increased to Sell at ValuEngine https://t.co/sEEAG2lCdi,positive,neutral,positive,positive,positive
RT @kirillklip: #KirillKlip: #GEM #Royalty #TNRGold $TNR.v Strategic Stake in #InternationalLithium #ILC $ILC.v &amp; #Royalty on #Mariana #Lit…,neutral,neutral,neutral,neutral,neutral
Coin listings pumps 20-100%. Our bot detects it before official announcements! 🤑  Join Us ➡️… https://t.co/ONIkvcfJDY,neutral,neutral,positive,neutral,neutral
$UNM Unum Group (NYSE:UNM) FAST Graphs Fundamental Valuation by the Numbers Analysis https://t.co/xeCsVXnYN2,neutral,neutral,neutral,neutral,neutral
#FastMoneyEspresso FINAL CALLS: Scott Wapner —&gt; buy $VFC Joe Terranova  —&gt; buy $PNC Jim Lebenthal —&gt; buy $QRVO Stev… https://t.co/92DAnjINT0,neutral,neutral,positive,neutral,neutral
$AMZN $CSX $JBHT $KNX $MDLZ $NSC $TSN $UNP $WMT https://t.co/sfsOKdbPcS,neutral,neutral,neutral,neutral,neutral
Shareholder Cna Financial Corp Lifted Comcast Corp New $CMCSA Position - https://t.co/IyzcUiBWTz,neutral,neutral,neutral,positive,positive
$CI  $BILI hot https://t.co/eZwreuLsLu,neutral,neutral,neutral,neutral,neutral
RT @dfstoken: WANT to TRADE $DFS? Find us at the following EXCHANGES:  1. https://t.co/FvRAlQFNai 2. https://t.co/Lma6PCPn81 3. https://t.c…,neutral,neutral,positive,neutral,neutral
Comparing Hartford Financial Services Group $HIG and Travelers Companies $TRV https://t.co/782D9nXHDb,neutral,neutral,neutral,neutral,neutral
2018-07-12 Short sale volume (not short interest) for $CAH is 35%. https://t.co/jhPEPW15Lh $OMI 56% $CVS 48% $RAD 69% $TFX 74%,neutral,neutral,positive,neutral,neutral
Eqt Corp $EQT: Institutional Investor Sentiment Down to 1.15 - https://t.co/asA3FjW8f8,neutral,neutral,neutral,neutral,negative
Investors awaiting pipeline plans from midstream... $KMI $EQT $EQM $WB $WPZ $D $EPD $TRP $TCP $PBA $ENB $EEP https://t.co/xPwlpPfEl8,neutral,neutral,neutral,neutral,neutral
MS reranking auto retailers on consolidation outlook $KMX $LAD $PAG overweight.  $ABG evenweight $AN $SAH downgrade to underweight,negative,neutral,negative,positive,negative
Analysts Expect Yamana Gold Inc. $AUY Will Announce Earnings of $0.03 Per Share https://t.co/yZIFdapmEi,positive,neutral,positive,neutral,positive
RT @hammockmonk: Last week I put on a $DE straddle inspired by @tastytradeRyan @tastytrade and his Iron Condor. I closed it today at fif…,neutral,neutral,positive,neutral,neutral
San Francisco Promotes Heroine Use Handing Out 4.5MM Needles/Yr. That Now Litter The Streets! $aapl $amzn $agn $brk… https://t.co/RYBj4zUODJ,neutral,negative,positive,neutral,neutral
Xylem $XYL Lowered to Sell at Zacks Investment Research https://t.co/PyoIKgG7Ee,neutral,neutral,negative,negative,negative
Pioneer Nat Res Co $PXD Stock Price Rose While Lombard Odier Asset Management Usa Corp Decreased Stake by $6.91 Mil… https://t.co/jaFgm3dZdX,negative,neutral,positive,positive,positive
RT @LuckyHappens: 💪 $BIOAQ 💪FORTUNE FAVORS THE BOLD📈 $STNG $F $DAL $UVXY $BBD $FCX $MSFT $IQ $PFE $USO $C $XLE $AKS $TEVA $MFGP $BMY $DWT…,neutral,neutral,positive,neutral,neutral
1️⃣2️⃣Biggest Market Gainers $MTSL $CODA $GENE $PED $ARC $MARA $GBTC $ARNC $DARE $GOL $ZTO $IQ $IDXG $DB $ATIS… https://t.co/HkM53k79Sb,neutral,neutral,neutral,positive,positive
RT @forever_t_2000: Theres goes $SODE breaking things again.  At least they're getting paid to fix it.  $ACM $AEGN $AGX $BFLBF $BLD $DY $EM…,neutral,neutral,neutral,neutral,neutral
RT @clair520: Yay! Got our unbelievable Sold Put 11th win in a row today! Congrats Class&amp; Coach @BrandonVanZee !👍Love to buy High Quality B…,neutral,positive,positive,positive,positive
$SRCL Stericycle Inc. Daily Stock Price Summary From our Stock News Alerts App,neutral,neutral,neutral,neutral,neutral
$1.13 EPS Expected for Stericycle Inc $SRCL This Quarter https://t.co/4hsplv3lYq,neutral,neutral,neutral,neutral,neutral
Deere &amp; Company $DE Downgraded to “Positive” at OTR Global  https://t.co/H8p1FxrQeU,negative,neutral,positive,positive,positive
I made 0.22 BTC in 1 day trading on Binance. Sign up now 🤑  Register for BONUS ➡️ https://t.co/sYjWfR1e8D  $EAC… https://t.co/LOvgqjCKkH,neutral,neutral,positive,neutral,neutral
Tourbillon Capital Partners LP Cut Sarepta Therapeutics INC $SRPT Holding as Market Value Rose - https://t.co/0QkdoIcdyY,negative,neutral,positive,negative,negative
Investors Purchase Large Volume of GGP Put Options $GGP https://t.co/c6Ab613vP7,neutral,neutral,neutral,neutral,positive
CarMax $KMX Lifted to “Buy” at Zacks Investment Research https://t.co/xTJS4cHtpe,neutral,neutral,neutral,positive,positive
7 figures today.  $SPY $NFLX $QCOM $MOMO $HUYA $CAT $DHI $NCLH $FB https://t.co/vFGn3pTPMY,neutral,neutral,neutral,neutral,neutral
$CSCO with the triple inside day! https://t.co/tvbbqFOHf8,neutral,neutral,neutral,neutral,neutral
Bitmex offers leveraged trading products on digital currencies 🤑  Register for BONUS ➡️ https://t.co/LkVIqtP543… https://t.co/Q7PBTN7Xo8,neutral,neutral,positive,neutral,neutral
#LithiumWatch $AAL.V $ALB $ENRG.V  $FMC $LAC.T $ML.V $NLC.V $NMX.T $ORL.T $SQM $WML.V $XMG.C  #Lithium #Chile… https://t.co/K1uwK6yfDw,neutral,neutral,neutral,neutral,neutral
RT @DepapasBolCero: $VALE de momento está lateral entre $165 y $192 formando un triángulo simétrico. https://t.co/WUk5GqNrum,positive,neutral,neutral,neutral,neutral
RT @MorganLBrennan: With #Helsinki2018 underway: worth noting that in the past year the U.S. has approved foreign military sales of Javelin…,positive,neutral,positive,neutral,positive
$CSX all time high. No surprises with transports.,neutral,positive,positive,neutral,positive
Just a stellar day! Turned my fang puts into money then hopped on some calls.. thanks to the option trades from… https://t.co/irYo5cncJl,neutral,positive,positive,neutral,positive
$CSX https://t.co/0iMW9zGFv2,neutral,neutral,neutral,neutral,neutral
Watching your show and futures at the same time while going over charts 🤓... thanks $aapl #ipadpro #multitasking,neutral,positive,positive,neutral,neutral
RT @BrandonVanZee: Great work Krishna! Those were the good old days. The market was basically giving away railroad stocks along with their…,negative,positive,positive,positive,positive
RT @shadeauv: $A$$Y 💋 https://t.co/Me64V8HuWq,neutral,neutral,neutral,neutral,neutral
$COO Weekly Summary Alert for The Cooper Companies Inc. From our Stock News Alerts App,neutral,neutral,positive,neutral,neutral
Investors need to be paying attention closely following $NOC CEO announcement. via @themotleyfool  https://t.co/KBh2Nl2y7O,neutral,neutral,neutral,neutral,neutral
Sentiment Report: Darden Restaurants Inc $DRI - https://t.co/i6AwQCAlFY,neutral,neutral,neutral,neutral,neutral
$0.54 EPS Expected for Mondelez International Inc. $MDLZ - https://t.co/vNS4cE5LJ9,neutral,neutral,neutral,neutral,positive
Wellington Management Group Llp Lowered Position in Pnc Finl Svcs Group INC $PNC by $642.78 Million - https://t.co/FxFLTG2YlB,neutral,neutral,negative,negative,negative
